State_Code,Account_Length_Months,Area_Code,Intl_Plan,VM_Plan,VM_Messages,Avg_Day_Minutes,Avg_Day_Calls,Avg_Day_Charge,Avg_Eve_Minutes,Avg_Eve_Calls,Avg_Eve_Charge,Avg_Night_Minutes,Avg_Night_Calls,Avg_Night_Charge,Avg_Intl_Minutes,Avg_Intl_Calls,Avg_Intl_Charge,Customer_Service_Calls,Churn
KY,117,408,1,0,0,180.65,91,33.28,190.2,92,22.23,252.56,140,12.63,16.22,8,4.23,2,1
UT,201,415,0,0,0,244.22,117,44.98,320.49,91,37.46,254.48,86,12.73,12.88,4,3.36,1,1
TX,80,415,0,0,0,210.92,69,38.85,229.31,85,26.8,125.97,101,6.3,10.58,7,2.76,2,0
IL,44,408,0,0,0,312.22,91,57.51,188.48,92,22.03,218.13,112,10.91,10.92,2,2.86,0,1
IN,161,415,0,0,0,78.7,127,14.5,286.21,127,33.45,225.32,96,11.27,13.57,2,3.54,2,0
WI,102,510,0,0,0,155.35,87,28.62,183.12,88,21.41,314.84,118,15.75,11.27,1,2.94,2,0
MT,97,408,0,0,0,257.95,90,47.51,217.84,79,25.46,182.78,134,9.14,18.63,9,4.86,0,0
DC,124,510,0,0,0,206.81,142,38.09,280.2,120,32.76,184.61,117,9.23,11.5,3,3,1,0
UT,133,408,0,0,0,239.03,141,44.03,171.66,148,20.07,163.85,89,8.19,9.66,3,2.52,4,0
ND,99,415,0,0,0,260.65,76,48.01,166.73,104,19.49,190.58,115,9.53,13.34,11,3.48,1,0
IN,180,510,0,0,0,150.27,102,27.68,240.99,68,28.17,172.96,125,8.66,18.06,6,4.71,2,0
MS,119,415,0,1,26,174.38,103,32.12,268.2,116,31.36,144.2,97,7.21,7.59,9,1.98,1,0
CA,79,510,0,0,0,170.38,90,31.38,207.98,97,24.31,234.43,91,11.73,10.81,11,2.82,5,1
WA,116,408,1,0,0,150.7,108,27.76,280.53,103,32.78,169.52,107,8.47,12.08,4,3.16,1,0
PA,93,415,0,0,0,194.05,128,35.75,205.63,139,24.03,167.59,132,8.38,13.8,4,3.6,0,0
OK,130,415,0,0,0,168.54,101,31.04,274.42,103,32.08,266.23,109,13.31,13.45,3,3.51,3,0
NH,116,510,0,0,0,193.51,86,35.64,214.31,123,25.05,170.73,78,8.54,18.17,8,4.74,1,0
CO,62,408,0,0,0,197.08,107,36.3,351.68,98,41.11,248.1,138,12.41,12.88,1,3.36,2,0
DC,66,415,0,0,0,36.76,141,6.77,298.53,65,34.89,131.24,127,6.56,13.22,3,3.46,0,0
AZ,97,415,0,1,43,130.92,111,24.12,278.81,122,32.59,225.22,106,11.27,9.55,6,2.49,3,0
MN,143,510,0,0,0,219.24,116,40.39,177.66,110,20.76,145.72,75,7.29,5.29,4,1.38,1,0
SD,185,408,0,0,0,60.11,103,11.07,309.35,88,36.16,112.61,116,5.63,13.92,3,3.63,2,0
IA,59,408,0,0,0,172.43,102,31.77,179.16,130,20.94,140.35,112,7.02,11.73,4,3.06,0,0
MT,222,415,0,0,0,277.41,126,51.09,247.31,104,28.91,238.99,103,11.95,14.03,6,3.66,1,1
CT,82,415,0,1,23,178.59,109,32.89,207.77,83,24.28,173.06,95,8.66,13.57,2,3.54,1,0
ID,167,510,0,0,0,224.43,93,41.34,141.87,67,16.58,258.43,104,12.92,16.22,6,4.23,0,0
NE,149,415,0,1,25,200.65,116,36.96,179.27,94,20.95,173.77,106,8.69,12.3,3,3.21,1,1
DE,125,415,0,0,0,142.49,103,26.25,146.48,106,17.12,312.1,126,15.61,8.86,7,2.31,2,0
MI,132,415,0,0,0,90.16,117,16.61,248.81,145,29.09,148.56,121,7.43,8.74,6,2.28,1,0
IA,115,415,0,0,0,265.08,111,48.82,170.37,115,19.92,232.81,78,11.65,8.28,9,2.16,0,0
ME,34,510,0,1,26,209.08,97,38.51,212.48,100,24.84,260.46,99,13.02,10.92,6,2.86,2,0
HI,158,510,0,0,0,221.84,103,40.86,257.81,82,30.13,80.71,114,4.04,16.56,13,4.32,0,0
TX,103,510,0,1,36,94.27,98,17.36,181.41,116,21.2,168.81,85,8.44,12.54,6,3.27,6,1
TX,96,415,0,0,0,136,108,25.06,261.88,118,30.6,169.82,95,8.5,10.35,2,2.7,2,0
KS,93,415,1,0,0,234.49,65,43.19,222.23,127,25.98,224.51,116,11.23,20.12,6,5.26,1,1
CT,80,408,0,1,31,179.89,98,33.14,255.35,78,29.85,152.61,89,7.63,12.3,4,3.21,4,0
NV,65,415,0,0,0,139.57,145,25.71,244.84,88,28.61,211.44,117,10.58,14.6,7,3.81,4,1
MA,116,408,0,0,0,164.76,107,30.35,204.66,95,23.93,144.81,101,7.25,12.76,10,3.33,0,0
CA,75,408,0,0,0,179.78,133,33.11,169.52,91,19.82,259.95,85,13,7.02,6,1.83,1,0
WY,142,408,1,0,0,173.62,107,31.98,216.45,132,25.3,224.51,106,11.23,10.12,2,2.64,1,1
VA,149,415,0,0,0,123.78,109,22.81,245.17,106,28.66,137.52,78,6.88,12.3,3,3.21,0,0
UT,125,415,0,0,0,205.62,113,37.87,224.16,79,26.2,103.39,144,5.17,16.33,6,4.26,4,1
OH,117,408,0,0,0,162.7,128,29.97,369.78,140,43.22,186.23,103,9.32,9.55,2,2.49,0,0
UT,120,415,0,0,0,219.78,115,40.48,278.49,70,32.55,117.37,109,5.88,8.97,2,2.34,3,0
IN,77,415,0,0,0,232.97,86,42.92,183.12,106,21.41,172.46,62,8.62,11.84,3,3.09,1,0
TX,89,408,0,0,0,155.89,78,28.71,176.48,126,20.63,282.73,128,14.14,13.92,8,3.63,4,1
NE,119,408,0,1,26,142.7,106,26.29,185.7,128,21.7,206.08,114,10.31,13.34,6,3.48,1,0
OR,67,408,0,0,0,190.49,127,35.08,252.88,146,29.56,154.43,110,7.72,12.19,4,3.18,1,0
MA,141,415,0,1,33,182.05,135,33.54,198.34,112,23.18,222.78,82,11.14,12.65,4,3.3,2,0
NV,117,415,1,1,22,211.89,87,39.03,345.78,87,40.42,228.46,127,11.42,4.26,6,1.11,1,0
IA,152,510,0,0,0,327.35,152,60.3,203.38,73,23.77,217.62,121,10.88,12.54,4,3.27,2,1
DE,137,415,0,0,0,137.3,113,25.29,346.32,79,40.48,145.72,134,7.29,8.62,2,2.26,1,0
WA,65,510,0,0,0,209.51,120,38.6,162.55,112,18.99,211.54,99,10.58,14.49,3,3.78,3,0
KS,51,415,0,0,0,248.32,137,45.74,360.03,110,42.08,195.24,135,9.77,11.04,1,2.88,1,1
TX,95,415,0,0,0,170.7,109,31.44,278.17,95,32.52,232.91,124,11.65,16.1,2,4.2,0,0
NY,153,510,0,0,0,132.43,154,24.4,292.85,109,34.23,200.3,75,10.02,9.2,3,2.4,2,0
MN,7,510,0,0,0,184,88,33.89,147.01,130,17.18,190.38,71,9.52,12.76,8,3.33,2,0
CO,12,415,0,0,0,222.81,111,41.04,264.24,110,30.88,257.82,88,12.9,13.92,8,3.63,2,0
OR,80,415,0,0,0,213.51,121,39.33,221.7,126,25.92,165.67,115,8.28,13,4,3.39,1,0
DC,105,415,0,1,27,152.65,102,28.11,179.7,100,21,277.87,107,13.9,13.11,2,3.42,1,0
AK,129,415,0,0,0,233.51,90,43.01,200.27,121,23.41,213.37,115,10.67,5.64,11,1.47,2,0
SC,135,510,0,1,27,295.57,150,54.44,165.02,105,19.29,248.91,118,12.45,14.14,7,3.69,1,0
AL,83,415,0,0,0,172.22,110,31.72,216.77,104,25.34,231.9,77,11.6,10.92,3,2.86,2,0
LA,154,408,0,1,35,242.16,108,44.61,205.73,105,24.05,165.16,106,8.26,11.04,2,2.88,0,0
DE,135,408,0,0,0,139.89,110,25.77,213.23,102,24.93,144.2,86,7.21,14.14,4,3.69,1,0
MD,114,510,0,1,28,244.11,100,44.97,206.8,124,24.18,235.34,106,11.77,9.66,10,2.52,4,0
CO,139,408,0,0,0,150.27,117,27.68,142.41,98,16.65,275.44,127,13.78,13.92,1,3.63,0,0
LA,35,415,0,0,0,281.95,92,51.94,276.56,83,32.33,132.96,130,6.65,6.67,2,1.74,1,0
ID,148,415,0,1,21,284.22,143,52.35,160.19,102,18.73,142.28,115,7.11,9.32,4,2.43,1,0
AK,82,510,0,1,23,133.73,99,24.63,149.05,78,17.42,176.71,125,8.84,12.19,2,3.18,1,0
KY,46,408,0,0,0,212.65,90,39.17,220.63,78,25.79,219.34,118,10.97,12.88,6,3.36,3,0
TN,106,415,0,0,0,202.27,110,37.26,268.1,124,31.34,146.73,86,7.34,12.65,3,3.3,1,0
MA,166,510,0,0,0,188,109,34.63,296.17,88,34.61,193.22,119,9.67,17.6,6,4.59,0,0
NH,161,408,0,0,0,116.22,128,21.41,274.74,49,32.11,250.33,138,12.52,14.49,3,3.78,2,0
AK,98,510,0,1,21,174.27,121,32.1,270.24,88,31.59,162.23,97,8.11,5.06,9,1.32,4,0
GA,122,415,0,0,0,37.95,66,6.99,193.73,94,22.65,254.78,61,12.74,14.6,2,3.81,1,0
DE,181,510,0,1,40,113.73,65,20.94,365.71,84,42.75,167.8,103,8.4,7.24,3,1.89,2,0
OR,138,415,0,0,0,271.35,126,49.98,97.72,102,11.42,144,92,7.2,15.87,3,4.14,3,0
IL,88,408,0,0,0,70.7,103,13.03,180.23,80,21.07,238.99,119,11.95,15.87,1,4.14,2,0
NJ,98,408,0,0,0,148,127,27.26,193.52,89,22.62,175.09,99,8.76,13.68,4,3.57,4,1
NH,174,415,0,0,0,258.59,76,47.63,201.98,131,23.61,106.94,123,5.35,10.12,3,2.64,1,0
KS,57,415,0,0,0,151.35,106,27.88,187.2,108,21.88,261.77,117,13.09,15.3,4,3.99,1,0
NE,112,415,0,1,16,239.57,117,44.12,139.51,130,16.31,202.53,114,10.13,13,3,3.39,1,0
NC,179,510,0,0,0,310.59,130,57.21,308.6,121,36.07,269.37,118,13.47,12.08,4,3.16,0,1
WY,50,408,0,0,0,181.3,78,33.4,192.77,104,22.53,168.61,77,8.43,12.54,2,3.27,1,0
TX,86,510,1,1,41,243.78,101,44.91,245.7,107,28.72,135.7,87,6.79,13.34,11,3.48,2,0
AL,65,408,0,0,0,103.78,101,19.12,125.37,87,14.66,175.09,121,8.76,7.7,3,2.01,3,0
NY,60,408,0,0,0,313.3,107,57.71,273.88,122,32.02,245.87,80,12.3,13.45,4,3.51,2,1
KY,128,408,0,0,0,246.38,138,45.38,324.24,75,37.9,193.92,87,9.7,6.32,8,1.66,1,1
MA,84,510,0,1,12,96.97,92,17.86,148.51,77,17.36,167.9,121,8.4,12.3,2,3.21,1,0
ID,93,408,0,0,0,289.62,121,53.34,238.95,78,27.94,266.03,95,13.3,13,3,3.39,3,1
RI,101,408,0,0,0,168,75,30.95,90.01,129,10.52,232,103,11.6,6.67,1,1.74,1,0
NV,96,415,0,1,23,197.95,93,36.46,157.94,94,18.46,354.63,114,17.74,13,8,3.39,1,0
AR,77,510,0,1,28,146.92,124,27.06,261.99,108,30.62,210.13,78,10.51,13.22,3,3.46,4,1
WA,45,415,0,0,0,154.27,85,28.42,220.09,143,25.73,230.99,92,11.55,13.8,12,3.6,2,0
MI,116,408,1,0,0,251.03,104,46.23,262.2,96,30.65,153.22,73,7.66,12.19,1,3.18,7,1
NY,121,415,0,0,0,179.78,121,33.11,148.73,138,17.39,218.03,114,10.91,11.96,11,3.12,2,0
OR,130,415,0,0,0,149.95,72,27.62,220.31,108,25.76,234.13,114,11.71,15.64,3,4.08,2,0
DC,92,415,0,0,0,196.11,104,36.12,176.27,104,20.6,173.16,116,8.66,12.54,4,3.27,2,0
DE,85,510,0,1,21,306.16,117,56.39,256.85,114,30.01,151.39,85,7.57,7.24,1,1.89,5,0
KS,76,510,0,0,0,97.84,151,18.03,226.84,79,26.51,197.37,80,9.87,10.7,2,2.79,1,0
FL,137,510,0,0,0,261.73,125,48.21,204.66,98,23.93,221.37,53,11.07,16.9,2,4.41,3,0
WY,162,415,0,0,0,146.16,104,26.92,259.31,113,30.31,250.03,101,12.5,11.73,2,3.06,2,0
CT,100,510,0,1,30,63.57,110,11.71,235.2,113,27.5,154.23,125,7.71,8.16,3,2.13,0,0
SC,33,415,1,0,0,177.3,105,32.66,164.05,108,19.17,125.37,110,6.27,7.36,4,1.92,0,0
AZ,146,510,0,0,0,204.65,82,37.69,167.05,136,19.52,188.35,88,9.42,8.51,3,2.22,0,0
WI,58,408,0,0,0,188.54,119,34.73,284.81,129,33.29,184.71,92,9.24,0,0,0,4,0
RI,18,408,0,0,0,295.78,99,54.48,122.8,123,14.35,253.77,127,12.7,9.43,4,2.46,1,0
NC,45,510,0,1,29,146.81,110,27.05,238.41,107,27.86,238.58,97,11.93,9.09,7,2.37,2,0
ND,143,415,0,0,0,192.65,116,35.48,272.81,98,31.89,244.35,147,12.22,9.78,8,2.56,0,0
WA,69,510,0,1,27,290.59,83,53.53,264.24,94,30.88,275.34,108,13.78,18.86,3,4.92,0,0
MO,85,510,0,0,0,198.27,118,36.52,180.87,104,21.14,202.23,103,10.12,11.38,4,2.97,4,0
NC,85,415,0,0,0,136.32,119,25.11,294.35,133,34.41,186.73,100,9.34,11.27,4,2.94,1,0
ME,134,408,0,0,0,191.57,97,35.28,245.06,111,28.64,196.76,119,9.84,10.24,3,2.67,2,0
OH,41,510,0,0,0,241.95,71,44.57,262.31,78,30.66,226.63,165,11.33,14.14,6,3.69,3,0
OH,146,415,0,1,11,195.35,87,35.98,186.12,95,21.75,234.43,94,11.73,11.62,4,3.03,2,0
IL,149,408,0,0,0,202.81,88,37.35,215.81,86,25.23,267.54,84,13.38,10.12,1,2.64,1,0
AK,117,415,0,0,0,244.86,90,45.11,151.73,72,17.74,225.82,95,11.3,7.94,6,2.07,1,0
OR,92,510,1,0,0,272.76,127,50.24,221.81,119,25.93,288.2,100,14.42,13.8,6,3.6,3,1
MD,90,510,0,0,0,205.41,104,37.83,210.13,118,24.56,219.14,61,10.96,9.2,7,2.4,2,0
AL,55,510,0,1,8,240.54,110,44.31,183.77,100,21.48,382.28,121,19.12,11.16,2,2.91,1,0
MO,109,510,1,0,0,226.05,150,41.64,219.66,98,25.68,120.91,117,6.04,8.97,3,2.34,2,0
MS,83,408,0,0,0,145.73,102,26.85,179.16,83,20.94,163.54,130,8.18,8.86,6,2.31,2,0
AZ,86,408,0,1,21,213.95,105,39.4,177.45,106,20.75,210.63,127,10.53,11.62,10,3.03,0,0
WA,73,415,0,1,31,88.97,111,16.39,274.42,96,32.08,232.51,104,11.63,13.57,2,3.54,6,1
RI,125,408,0,0,0,148.22,100,27.3,224.81,88,26.27,241.42,121,12.08,9.89,4,2.58,1,0
VT,75,415,0,0,0,340.11,108,62.64,181.95,91,21.26,288.71,106,14.44,6.56,3,1.71,2,1
WY,26,510,0,0,0,162.16,67,29.87,241.09,95,28.19,204.86,105,10.24,10.58,6,2.76,3,0
RI,60,510,0,0,0,206.27,106,38,210.02,90,24.55,153.62,116,7.69,11.38,10,2.97,0,0
WY,147,415,1,1,24,237.73,125,43.79,223.41,123,26.11,356.96,117,17.85,9.32,4,2.43,3,0
MI,127,415,0,0,0,238.92,106,44.01,172.19,120,20.13,236.05,101,11.81,7.82,4,2.04,2,0
IL,92,510,0,0,0,190.59,90,35.11,100.08,132,11.7,209.82,113,10.49,11.04,1,2.88,2,0
HI,106,408,0,0,0,296,127,54.53,159.98,110,18.7,196.35,134,9.83,12.88,3,3.36,0,0
WY,20,415,0,1,27,250.38,111,46.12,239.27,127,27.97,214.68,105,10.74,10.24,4,2.67,1,0
IA,126,415,0,1,31,300.54,93,55.36,271.31,69,31.71,226.03,121,11.3,10,4,2.61,0,0
OK,110,408,0,0,0,80.54,124,14.84,215.16,104,25.15,194.63,107,9.74,11.27,8,2.94,3,0
DC,86,408,0,0,0,122.27,82,22.53,315.46,133,36.87,102.68,99,5.13,15.41,3,4.02,1,0
MT,187,510,0,1,25,216.11,68,39.8,144.23,116,16.86,213.06,82,10.66,13.45,7,3.51,3,0
IN,81,415,0,0,0,157.19,140,28.96,138.55,96,16.19,188.76,115,9.44,5.98,4,1.56,1,0
RI,83,408,0,1,38,116.65,95,21.48,150.44,100,17.58,256.81,84,12.84,12.08,2,3.16,0,0
WV,62,415,0,0,0,159.03,97,29.3,204.02,113,23.84,197.67,122,9.88,14.03,3,3.66,0,0
OH,68,510,0,0,0,211.24,123,38.91,227.27,107,26.57,140.15,142,7.01,17.36,12,4.53,1,0
VT,95,510,0,0,0,170.05,123,31.32,211.63,82,24.74,129.82,117,6.49,9.66,4,2.52,2,0
UT,129,415,0,1,23,227.78,126,41.96,147.23,54,17.21,251.34,97,12.57,9.09,7,2.37,2,0
NM,44,510,0,1,25,165.3,112,30.44,220.2,156,25.74,250.43,113,12.53,9.2,6,2.4,1,0
AZ,115,415,0,1,33,156.76,76,28.87,208.41,166,24.36,245.37,146,12.27,16.33,3,4.26,2,0
MO,80,415,1,0,0,204.43,129,37.66,239.17,97,27.95,272.41,123,13.63,15.99,3,4.17,2,1
KY,93,510,0,1,32,236.43,124,43.55,123.23,65,14.41,195.14,90,9.76,10.81,6,2.82,2,0
NY,118,408,0,0,0,192.86,86,35.53,195.77,126,22.88,254.58,115,12.73,12.42,2,3.24,1,0
NV,76,415,0,1,35,295.89,100,54.5,164.27,107,19.2,262.28,115,13.12,4.37,3,1.14,0,0
IA,127,408,0,0,0,197.08,132,36.3,182.05,116,21.28,186.33,123,9.32,10.7,3,2.79,1,0
SD,22,415,0,0,0,196.54,115,36.21,212.81,157,24.87,209.22,101,10.47,10.7,3,2.79,2,0
IN,105,415,1,1,29,238.59,87,43.95,233.27,116,27.26,192.91,106,9.65,15.18,7,3.96,1,1
AR,90,408,0,1,29,162.27,116,29.89,283.63,109,33.15,180.66,103,9.04,6.67,4,1.74,1,0
NV,130,408,0,0,0,124.97,137,23.02,179.8,110,21.01,143.59,131,7.18,14.49,10,3.78,1,0
TX,139,415,0,0,0,178.38,140,32.86,267.56,91,31.27,172.46,135,8.62,14.49,9,3.78,1,0
CT,79,415,0,0,0,230.92,117,42.53,251.7,128,29.43,232.51,166,11.63,10.12,3,2.64,2,0
FL,86,415,0,0,0,242.05,80,44.58,166.84,115,19.49,152.1,151,7.61,8.4,10,2.19,1,0
VA,151,510,0,0,0,169.08,115,31.15,250.09,125,29.23,198.18,149,9.92,8.86,7,2.31,4,0
NM,161,415,0,0,0,187.46,106,34.53,228.99,78,26.76,143.29,73,7.17,13.22,4,3.46,1,0
WA,93,415,1,1,36,183.46,116,33.79,341.39,93,39.9,249.62,100,12.48,11.27,3,2.94,0,0
TX,161,510,1,0,0,209.95,112,38.67,267.24,111,31.24,258.13,136,12.91,14.84,1,3.87,1,1
HI,134,415,0,1,40,154.49,111,28.45,94.94,65,11.1,293.67,101,14.69,12.42,7,3.24,1,0
OR,133,415,0,0,0,185.73,68,34.22,189.77,88,22.18,225.82,101,11.3,11.84,4,3.09,1,0
CO,97,415,0,1,32,198.27,100,36.52,288.35,127,33.7,206.08,40,10.31,7.7,4,2.01,5,0
NH,122,408,0,1,23,145.08,90,26.72,243.56,140,28.47,123.95,101,6.2,9.78,2,2.56,2,0
DE,77,408,0,0,0,67.46,94,12.43,182.05,128,21.28,212.25,68,10.61,6.56,7,1.71,5,1
AR,112,415,0,0,0,287.57,103,52.97,229.95,100,26.88,310.08,106,15.51,16.33,2,4.26,2,1
VA,33,415,0,1,29,170.16,105,31.35,126.33,85,14.76,282.73,84,14.14,15.99,12,4.17,4,1
WV,186,415,0,1,26,80.32,113,14.79,189.98,123,22.21,300.05,95,15,16.68,3,4.36,2,0
NM,82,408,0,0,0,168.65,100,31.06,316.74,125,37.03,199.39,89,9.97,16.44,3,4.29,0,0
VT,135,510,0,0,0,155.78,122,28.7,267.67,72,31.28,214.08,87,10.7,15.64,3,4.08,1,0
IL,149,510,0,1,43,223.46,84,41.16,187.09,129,21.87,244.56,85,12.23,12.54,3,3.27,1,0
